text,real,ml_pred,wazuh_pred
Feb 16 18:49:45 ubuntu-victima sshd[3622]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 35386 ssh2 [preauth]  root ,1,1,0
Feb 17 17:10:27 ubuntu-victima sshd[3439]: PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.1.50  user=vboxuser  vboxuser ,1,1,0
Feb 17 16:53:24 ubuntu-victima sshd[2883]: Failed password for vboxuser from 192.168.1.50 port 39990 ssh2  vboxuser ,1,1,0
Feb 17 17:13:44 ubuntu-victima sshd[3534]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 57752 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 17:27:18 ubuntu-victima sshd[3933]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 55082 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 13:27:14 ubuntu-victima sshd[4547]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 50102 ssh2 [preauth]  root ,1,1,0
Feb 17 17:24:13 ubuntu-victima sshd[3850]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 58964 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 16:57:16 ubuntu-victima sshd[3057]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 41700 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 17:11:59 ubuntu-victima sshd[3478]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 36512 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 16:47:59 ubuntu-victima sshd[2749]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 55464 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 17:24:13 ubuntu-victima sshd[3850]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 58964 ssh2 [preauth]  vboxuser ,1,1,0
Feb 16 17:56:29 ubuntu-victima sshd[1692]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 53486 ssh2 [preauth]  root ,1,1,0
Feb 17 16:05:10 ubuntu-victima sshd[2203]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 55828 ssh2 [preauth]  root ,1,1,0
Feb 17 16:59:37 ubuntu-victima sshd[3119]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 34762 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 17:17:11 ubuntu-victima sshd[3630]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 36418 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 17:16:53 ubuntu-victima sshd[3622]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 39364 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 17:20:42 ubuntu-victima sshd[3737]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 36190 ssh2 [preauth]  vboxuser ,1,1,0
"192.168.1.50 - - [26/Feb/2026:11:19:16 +0000] ""GET /index.html HTTP/1.1"" 200 3404 ""-"" ""gobuster/3.8"" /index.html   ",1,1,0
Feb 17 16:45:16 ubuntu-victima sshd[2667]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 55520 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 17:14:32 ubuntu-victima sshd[3553]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 56786 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 16:05:44 ubuntu-victima sshd[2227]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 39086 ssh2 [preauth]  root ,1,1,0
Feb 17 16:24:01 ubuntu-victima sshd[2503]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 51428 ssh2 [preauth]  vboxuser ,1,1,0
Feb 16 18:48:18 ubuntu-victima sshd[3584]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 52788 ssh2 [preauth]  root ,1,1,0
Feb 17 16:58:58 ubuntu-victima sshd[3101]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 48132 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 16:46:21 ubuntu-victima sshd[2705]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 35340 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 17:07:27 ubuntu-victima sshd[3356]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 43156 ssh2 [preauth]  vboxuser ,1,1,0
